Title,Published_date,Views,Likes,Dislikes,Comments
Justin Bieber - E.T.A. (CHANGES: The Movement),2020-03-23T16:00:14Z,4532515,156383,0,5382
Justin Bieber - Intentions (Acoustic),2020-03-19T04:01:47Z,5830728,181642,0,7305
Justin Bieber - Get Me (CHANGES: The Movement) ft. Kehlani,2020-03-18T16:00:03Z,4804866,137814,0,3901
Justin Bieber - Available (CHANGES: The Movement),2020-03-16T16:00:05Z,5609025,154248,0,4798
Justin Bieber - Second Emotion (CHANGES: The Movement) ft. Travis Scott,2020-03-11T16:00:11Z,5521883,141281,0,3532
Justin Bieber - Running Over (CHANGES: The Movement) ft. Lil Dicky,2020-03-11T16:00:07Z,7714666,192379,0,4168
Justin Bieber - Take It Out On Me (CHANGES: The Movement),2020-03-09T16:00:11Z,4283799,151238,0,4869
"Justin Bieber - Forever (CHANGES: The Movement) ft. Post Malone, Clever",2020-03-09T16:00:02Z,18586885,211396,0,4716
Justin Bieber - Intentions (Live From The Ellen DeGeneres Show / 2020) ft. Quavo,2020-03-06T22:28:47Z,9665277,227385,0,6557
Intentions (Live On The Tonight Show Starring Jimmy Fallon / 2020),2020-03-05T22:00:25Z,22609275,346466,0,7521
Justin Bieber - Come Around Me (CHANGES: The Movement),2020-03-04T17:00:04Z,22173682,449208,0,9294
Justin Bieber - Habitual (CHANGES: The Movement),2020-03-02T17:00:17Z,5393177,198564,0,4695
Justin Bieber - All Around Me (CHANGES: The Movement),2020-03-02T17:00:07Z,10111723,320568,0,9255
Justin Bieber - CHANGES: The Movement (Trailer),2020-02-28T22:04:39Z,672504,65787,0,2141
The Finale - Justin Bieber: Seasons,2020-02-25T17:00:08Z,7368440,0,0,7973
Album on the Way  - Justin Bieber: Seasons,2020-02-17T17:00:19Z,13566416,0,0,3799
Justin Bieber - Zane Lowe and Apple Music ’Changes’ Interview,2020-02-15T19:00:18Z,2751282,88248,0,7598
Justin Bieber - At Least For Now (Audio),2020-02-14T05:01:11Z,3395917,90743,0,2699
Justin Bieber - That's What Love Is (Audio),2020-02-14T05:01:08Z,4427402,94539,0,2583
Justin Bieber - Confirmation (Audio),2020-02-14T05:01:06Z,8784142,129550,0,3735
Justin Bieber - Changes (Audio),2020-02-14T05:01:03Z,9044178,216308,0,5793
Justin Bieber - E.T.A. (Audio),2020-02-14T05:01:01Z,5793909,101902,0,3808
Justin Bieber - Second Emotion (feat. Travis Scott)(Audio),2020-02-14T05:00:58Z,8999698,164614,0,4285
Justin Bieber - Take It Out On Me (Audio),2020-02-14T05:00:52Z,4550370,71171,0,1584
Justin Bieber - Running Over (feat. Lil Dicky)(Audio),2020-02-14T05:00:50Z,4729706,85150,0,3303
Justin Bieber - Forever (feat. Post Malone & Clever)(Audio),2020-02-14T05:00:47Z,36189817,474875,0,11297
Justin Bieber - Available (Audio),2020-02-14T05:00:44Z,7555080,105071,0,2915
Justin Bieber - Come Around Me (Audio),2020-02-14T05:00:42Z,26558058,297065,0,5849
Justin Bieber - Habitual (Audio),2020-02-14T05:00:40Z,9812455,148344,0,4502
Justin Bieber - All Around Me (Audio),2020-02-14T05:00:36Z,8043736,140415,0,4099
Justin Bieber - Intentions (Official Video (Short Version)) ft. Quavo,2020-02-12T20:00:01Z,624675230,3810219,0,62649
The Wedding: Officially Mr. & Mrs. Bieber - Justin Bieber: Seasons,2020-02-12T17:00:04Z,153914295,0,0,46244
Justin Bieber - Intentions (Live On Saturday Night Live / 2020),2020-02-10T23:43:50Z,6487372,241557,0,6869
Justin Bieber - Yummy (Live On Saturday Night Live / 2020),2020-02-10T21:58:39Z,2406246,96919,0,3037
Justin Bieber - Intentions (Official Lyric Video) ft. Quavo,2020-02-10T20:00:04Z,7411841,150913,0,4086
Planning The Wedding a Year Later - Justin Bieber: Seasons,2020-02-10T17:00:18Z,35586973,0,0,8899
Justin Bieber - Intentions ft. Quavo (Official Video),2020-02-07T05:00:10Z,86777362,2396914,0,89915
Only Up From Here - Justin Bieber: Seasons,2020-02-05T17:00:14Z,13188232,0,0,4496
The Dark Season - Justin Bieber: Seasons,2020-02-03T17:00:14Z,25898062,0,0,17789
Justin Bieber - Yummy (Summer Walker remix),2020-02-03T05:00:03Z,3769739,146849,0,6094
Justin Bieber - Yummy (Tik Tok Compilation Video),2020-02-02T16:32:47Z,2325715,142550,0,4916
Justin Bieber - Get Me (feat. Kehlani)(Audio),2020-01-28T05:03:43Z,12083710,461530,0,20377
Justin & Hailey - Justin Bieber: Seasons,2020-01-27T17:01:40Z,35314708,0,0,15963
Making Magic - Justin Bieber: Seasons,2020-01-27T17:01:04Z,35567444,0,0,8712
Bieber Is Back - Justin Bieber: Seasons,2020-01-27T17:00:11Z,25727371,0,0,9507
Leaving the Spotlight - Justin Bieber: Seasons,2020-01-27T17:00:11Z,82486487,1399907,0,38176
Justin Bieber x drew house: Yummy (Animated Video),2020-01-09T14:04:34Z,1579292,115703,0,3636
Justin Bieber - Yummy (Food Fight),2020-01-08T23:01:14Z,501477,44231,0,2605
Justin Bieber - Yummy (Animated Video),2020-01-08T22:02:30Z,2226729,117622,0,3293
Justin Bieber - Yummy (Beliebers React),2020-01-08T21:00:41Z,1400721,122548,0,4399
Justin Bieber - Yummy (Fan Lip Sync),2020-01-08T19:48:46Z,660779,65702,0,3204
Justin Bieber - Yummy (Official Video),2020-01-04T17:00:11Z,760679955,11947051,0,584492
Justin Bieber - Yummy (Lyric Video),2020-01-03T05:00:02Z,32072348,1113858,0,80962
#BIEBER2020,2019-12-24T17:00:09Z,7353161,470857,0,41166
