Title,Published_date,Views,Likes,Dislikes,Comments
The Weeknd - Echoes of Silence (Official Music Video),2021-12-21T15:00:30Z,3325650,186260,0,7086
The Weeknd - Die For You (Official Music Video),2021-11-25T05:00:15Z,73360017,1425360,0,33837
Swedish House Mafia and The Weeknd - Moth To A Flame (Official Video),2021-10-22T04:00:11Z,79568423,1100621,0,31536
#TakeMyBreath on #YouTubeShorts @youtube @youtubemusic,2021-09-28T15:29:06Z,509351,28179,0,292
The Weeknd for Dolby Atmos,2021-09-12T23:00:15Z,851459,58754,0,2180
The Weeknd - Can’t Feel My Face (Alternate Video),2021-09-02T19:31:28Z,2440237,173807,0,8217
The Weeknd - The Making Of Take My Breath,2021-08-27T16:00:00Z,1006455,38394,0,1573
#TakeMyBreath 🎥 #YouTubeShorts,2021-08-12T17:06:19Z,866732,66322,0,838
Create your own version of ‘Take My Breath’ on #YouTubeShorts 🌅,2021-08-10T23:11:37Z,952478,73975,0,912
The Weeknd - Take My Breath (Extended Version) (Official Audio),2021-08-10T04:00:27Z,3542033,90443,0,4311
The Weeknd - Take My Breath (XO Lens),2021-08-10T04:00:18Z,834197,61313,0,2219
The Weeknd - Take My Breath (Instrumental) (Official Audio),2021-08-10T04:00:03Z,427013,20700,0,1026
The Weeknd - Take My Breath (Official Lyric Video),2021-08-06T04:00:17Z,5765970,137553,0,6020
The Weeknd - Take My Breath (Official Audio),2021-08-06T04:00:13Z,9834742,130707,0,4073
The Weeknd - Take My Breath (Official Music Video),2021-08-06T04:00:09Z,148613854,1755719,0,58916
These Track Stars Will Take Your Breath Away - The Weeknd x NBC Sports for Tokyo Olympics 2020,2021-08-03T04:42:23Z,640831,51732,0,2582
The Dawn Is Coming (Teaser),2021-08-02T04:49:16Z,1522952,156783,0,15162
The Weeknd & Ariana Grande – Save Your Tears (Live on The 2021 iHeart Radio Music Awards),2021-06-01T19:01:19Z,187463917,2877962,0,59828
The Weeknd - The Weeknd – Save Your Tears (Live on The 2021 Billboard Music Awards),2021-05-24T04:52:51Z,25914740,799673,0,32207
The Weeknd - Save Your Tears (Live at The BRIT Awards 2021),2021-05-11T21:30:01Z,15859916,499127,0,18989
The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video),2021-04-23T04:00:06Z,272239298,3517291,0,91917
The Weeknd - Try Me (Official Video),2021-03-30T21:57:07Z,16141695,396095,0,16353
The Weeknd - The Last Meal Before The Super Bowl,2021-02-05T15:00:09Z,4110429,219904,0,7051
The Weeknd - The Morning (Official Audio),2021-02-05T05:00:30Z,5108079,132773,0,6353
The Weeknd - Die For You (Official Audio),2021-02-05T05:00:06Z,46356808,586977,0,10949
The Weeknd - Acquainted (Official Audio),2021-02-05T05:00:00Z,12762797,180630,0,5022
The Weeknd - Save Your Tears (Official Music Video),2021-01-05T17:00:12Z,1218105446,8032754,0,282553
The Weeknd - Save Your Tears (iHeartRadio Jingle Ball Live Performance),2020-12-15T03:00:18Z,20345334,366779,0,12402
The Weeknd - Blinding Lights (iHeartRadio Jingle Ball Live Performance),2020-12-15T03:00:06Z,6070746,133064,0,4522
The Weeknd - In Your Eyes (iHeartRadio Jingle Ball Live Performance),2020-12-15T03:00:05Z,20279694,219838,0,6711
The Weeknd ft. ROSALÍA - Blinding Lights [Remix] (Official Lyric Video),2020-12-04T05:00:11Z,48779795,826930,0,76762
The Weeknd - Faith (Official Live Performance) | Vevo,2020-11-25T17:00:09Z,7925088,184665,0,8719
The Weeknd - In Your Eyes ft. Kenny G (Official Live Performance) | Vevo,2020-11-24T17:00:00Z,5779903,146698,0,5895
The Weeknd - Save Your Tears / In Your Eyes (Live on The 2020 American Music Awards),2020-11-24T01:29:55Z,64227625,937506,0,29132
The Weeknd - Alone Again (Official Live Performance),2020-11-23T17:38:54Z,11343991,224712,0,11884
The Weeknd - Trailer (Official Live Performance),2020-11-20T17:00:10Z,890084,55231,0,2470
The Weeknd - Blinding Lights (Official Instrumental),2020-10-29T04:00:03Z,4215040,182488,0,7717
The Weeknd - Too Late (Official Video),2020-10-22T19:00:09Z,20717512,649300,0,35506
The Weeknd - In Your Eyes (Remix / Audio) ft. Kenny G,2020-10-16T04:00:01Z,4088154,111864,0,4916
The Weeknd - Blinding Lights (Time100 Live Performance),2020-09-25T23:04:13Z,4318696,174939,0,7471
The Weeknd - In Your Eyes ft Kenny G (Time100 Live Performance),2020-09-25T23:04:05Z,4847064,138571,0,5667
The Weeknd - Blinding Lights (Live On The 2020 MTV VMAs),2020-09-11T21:50:26Z,39570383,674769,0,18640
After Hours Trailer,2020-09-08T19:00:14Z,851794,61622,0,2999
The Weeknd - Save Your Tears (The Tik Tok Experience),2020-08-13T19:45:01Z,18459807,206721,0,5205
The Weeknd - Blinding Lights (The Tik Tok Experience) ft. Major Lazer,2020-08-13T19:45:00Z,9091781,263986,0,11105
The Weeknd Experience LIVE - Director's Cut (Trailer),2020-08-12T20:22:35Z,323673,25976,0,1268
The Weeknd - Snowchild (Animated Video),2020-07-22T16:00:05Z,26046604,584788,0,20210
The Weeknd - In Your Eyes (Remix / Animated) ft. Doja Cat,2020-07-02T16:00:07Z,15601572,392839,0,11421
The Weeknd - In Your Eyes Remix feat. Doja Cat (Audio),2020-05-21T04:00:15Z,37134515,552208,0,18109
The Weeknd - Blinding Lights (Chromatics Remix Music Video),2020-05-05T19:00:11Z,8580356,223901,0,5610
American Dad — The Weeknd’s Dark Secret,2020-05-05T05:30:02Z,15452095,741628,0,25798
The Weeknd - Blinding Lights (Major Lazer Remix) [Official Audio],2020-04-15T21:59:33Z,1201093,33915,0,1506
The Weeknd - Heartless (Remix) [feat. Lil Uzi Vert] Intermission,2020-04-14T19:33:10Z,1040252,57996,0,2359
The Weeknd - Until I Bleed Out (Official Video),2020-04-07T16:00:31Z,21448629,416738,0,14357
The Weeknd - Heartless (Remix) [feat. Lil Uzi Vert] (Official Audio),2020-04-03T04:00:21Z,2478054,92781,0,3117
The Weeknd - Save Your Tears (OPN Remix / Audio),2020-03-25T19:18:36Z,847399,18675,0,421
The Weeknd - Blinding Lights (Chromatics Remix / Audio) ft. Chromatics,2020-03-25T19:14:03Z,1495131,21170,0,557
The Weeknd - Heartless (Vapor Wave Remix / Audio) ft. Lil Uzi Vert,2020-03-25T19:07:31Z,1143772,40650,0,2030
The Weeknd - Scared To Live (Live On Saturday Night Live / 2020 / Audio),2020-03-25T19:06:49Z,263471,7146,0,217
The Weeknd - After Hours (The Blaze Remix / Audio),2020-03-25T19:06:31Z,1832904,36024,0,486
The Weeknd - In Your Eyes (Official Video),2020-03-23T16:00:10Z,103010272,1302134,0,45917
The Weeknd - Faith (Audio),2020-03-20T04:00:20Z,22388464,252957,0,7835
The Weeknd - Save Your Tears (Official Audio),2020-03-20T04:00:17Z,80256595,671460,0,15485
The Weeknd - Too Late (Audio),2020-03-20T04:00:14Z,24570772,239170,0,5553
The Weeknd - Escape From LA (Audio),2020-03-20T04:00:13Z,24508396,218836,0,6642
The Weeknd - Hardest To Love (Audio),2020-03-20T04:00:12Z,17023909,200426,0,5540
The Weeknd - Until I Bleed Out (Audio),2020-03-20T04:00:10Z,3118024,61321,0,2175
The Weeknd - Scared To Live (Audio),2020-03-20T04:00:06Z,11280545,144943,0,3117
The Weeknd - Snowchild (Audio),2020-03-20T04:00:05Z,8752586,125267,0,4665
The Weeknd - In Your Eyes (Official Audio),2020-03-20T04:00:04Z,115063700,734787,0,14417
The Weeknd - Alone Again (Official Audio),2020-03-20T04:00:02Z,23478014,288305,0,7980
The Weeknd - Repeat After Me (Interlude) (Audio),2020-03-20T04:00:00Z,6412969,96666,0,3900
"The Weeknd - ""Blinding Lights"" (Live on Saturday Night Live / 2020)",2020-03-08T08:48:53Z,6680323,169989,0,6145
"The Weeknd - ""Scared To Live"" (Live on Saturday Night Live / 2020)",2020-03-08T08:48:25Z,5473182,142160,0,7029
The Weeknd - After Hours (Short Film),2020-03-04T16:00:11Z,13285325,438110,0,17822
The Weeknd - Blinding Lights (Behind The Scenes),2020-02-28T18:00:16Z,7776609,255717,0,5405
The Weeknd - After Hours (Audio),2020-02-19T05:00:26Z,147221733,1415412,0,35367
Album Title,2020-02-13T19:24:50Z,2380604,116667,0,5581
The Weeknd - Blinding Lights (Live On Jimmy Kimmel Live! / 2020),2020-01-23T08:40:08Z,14883657,397871,0,13783
The Weeknd - Blinding Lights (Official Video),2020-01-21T18:00:10Z,724620218,9253561,0,287303
The Weeknd - Heartless (Live on The Late Show with Stephen Colbert / 2019),2020-01-06T22:07:37Z,6835988,148579,0,3970
The Weeknd - Blinding Lights (Live on The Late Show with Stephen Colbert / 2019),2020-01-06T21:56:52Z,1878081,56991,0,1587
The Weeknd - Blinding Lights (Official Lyric Video),2019-12-06T04:00:33Z,11852087,133990,0,4735
The Weeknd - Heartless (Official Video),2019-12-03T22:30:12Z,176197126,2079921,0,66831
The Weeknd - Heartless (Lyric Video),2019-12-03T02:46:51Z,2689374,99418,0,2824
The Weeknd - Blinding Lights (Official Audio),2019-11-29T05:00:08Z,750696122,5888174,0,163836
The Weeknd - Heartless (Official Audio),2019-11-27T05:00:00Z,42761604,613152,0,25493
"SZA, The Weeknd, Travis Scott - Power Is Power (Official Video)",2019-05-05T15:21:12Z,39116324,694960,0,17987
The Weeknd - Call Out My Name (Official Video),2018-04-12T16:00:04Z,877416579,6200827,0,123696
"He Was Never There, Docupoem",2018-04-09T16:24:00Z,3183227,168265,0,8093
The Weeknd - Call Out My Name (Official Lyric Video),2018-04-02T23:29:20Z,16528017,336970,0,11134
The Weeknd - Call Out My Name (Official Audio),2018-03-30T03:07:19Z,163217109,1660969,0,35576
The Weeknd - Try Me (Official Audio),2018-03-30T03:07:03Z,78831277,524599,0,9865
The Weeknd - Wasted Times (Official Audio),2018-03-30T03:06:44Z,57494589,453765,0,9912
The Weeknd - I Was Never There feat. Gesaffelstein (Official Audio),2018-03-30T03:06:27Z,143447651,1545834,0,18651
The Weeknd - Hurt You feat. Gesaffelstein (Official Audio),2018-03-30T03:05:28Z,64002232,437844,0,9210
The Weeknd - Privilege (Official Audio),2018-03-30T03:05:12Z,23000806,221760,0,6258
"The Weeknd, Kendrick Lamar - Pray For Me (Official Lyric Video)",2018-03-01T20:00:53Z,248165052,2450640,0,60032
TheWeekndVEVO Live Stream,2017-12-02T16:16:10Z,0,74,0,1
The Weeknd - Secrets (Official Video),2017-06-12T04:00:01Z,202816506,1364936,0,43422
The Weeknd - I Feel It Coming ft. Daft Punk (Official Video),2017-03-10T05:00:03Z,1105486241,5487136,0,187894
The Weeknd - Reminder (Official Video),2017-02-16T17:00:03Z,428180605,2993642,0,71903
The Weeknd - Party Monster (Official Video),2017-01-12T17:00:30Z,151139940,1271118,0,47364
The Weeknd - The Hills (Vevo Presents),2016-12-20T20:00:05Z,10053750,158116,0,3876
The Weeknd - Party Monster (Vevo Presents),2016-12-20T20:00:05Z,11847524,127438,0,4209
The Weeknd - Intro/Starboy (Live from Vevo Presents),2016-12-20T20:00:04Z,15197753,183893,0,5233
The Weeknd - Sidewalks ft. Kendrick Lamar (Vevo Presents),2016-12-20T20:00:04Z,11942342,146576,0,4227
The Weeknd - Reminder (Vevo Presents),2016-12-20T20:00:02Z,10000249,116871,0,3118
The Weeknd - False Alarm (Vevo Presents),2016-12-20T20:00:01Z,4168211,58807,0,1795
The Weeknd - Secrets/Can’t Feel My Face (Vevo Presents),2016-12-20T20:00:01Z,21489836,153579,0,4660
The Weeknd - Starboy ft. Daft Punk (Live On The Voice Season 11),2016-12-16T23:09:06Z,9207866,161448,0,4701
The Weeknd - Starboy (Live From The Victoria’s Secret Fashion Show 2016 in Paris),2016-12-06T20:50:06Z,203427665,1455546,0,39738
The Weeknd - M A N I A (Official Video),2016-11-23T17:00:21Z,118845832,1007203,0,45262
The Weeknd - Starboy ft. Daft Punk (Official Lyric Video),2016-11-11T05:00:01Z,95018042,668287,0,18948
The Weeknd - False Alarm (Official Video),2016-10-13T16:00:02Z,219722122,3389458,0,143689
The Weeknd - Starboy ft. Daft Punk (Live on SNL),2016-10-02T10:09:51Z,9344180,161383,0,9056
The Weeknd - False Alarm (Live on SNL),2016-10-02T10:02:50Z,5707981,92509,0,5631
The Weeknd - Starboy ft. Daft Punk (Official Video),2016-09-28T16:00:01Z,2258154668,11123894,0,392139
The Weeknd - The Hills (Live at The BRIT Awards 2016),2016-02-25T02:30:00Z,5504989,84353,0,3286
The Weeknd - In The Night (Short Version) (Official Video),2016-02-14T08:00:00Z,7978277,92941,0,2703
The Weeknd - In The Night (Official Audio),2016-02-01T15:50:00Z,64476780,477168,0,9048
The Weeknd - In The Night (Official Video),2015-12-09T00:00:01Z,89860289,753622,0,28105
The Weeknd - The Hills (RL Grime Remix),2015-11-06T05:00:03Z,2979847,43658,0,836
The Weeknd - Can't Feel My Face (Martin Garrix Remix),2015-11-06T05:00:00Z,4816388,72513,0,1746
The Weeknd - The Hills (Live at Apple Music Festival: London 2015),2015-10-23T07:00:00Z,11669478,262673,0,5296
The Weeknd - Losers (Live at Apple Music Festival: London 2015),2015-10-23T07:00:00Z,2668608,34770,0,988
