Title,Published_date,Views,Likes,Dislikes,Comments
"Taylor Swift - no body, no crime (Official Lyric Video) ft. HAIM",2020-12-11T05:00:10Z,20812004,391142,0,13931
Taylor Swift - willow (Official Music Video),2020-12-11T05:00:10Z,122236188,2252542,0,115782
Taylor Swift - marjorie (Official Lyric Video),2020-12-11T05:00:09Z,9656615,272552,0,10529
Taylor Swift - coney island (Lyric Video) ft. The National,2020-12-11T05:00:08Z,10728248,163574,0,6205
Taylor Swift - ivy (Official Lyric Video),2020-12-11T05:00:06Z,12630558,192122,0,6577
Taylor Swift - ‘tis the damn season (Official Lyric Video),2020-12-11T05:00:05Z,11792310,203030,0,5685
Taylor Swift - gold rush (Official Lyric Video),2020-12-11T05:00:03Z,14075583,252284,0,8422
Taylor Swift - evermore (Official Lyric Video) ft. Bon Iver,2020-12-11T05:00:02Z,17827619,335462,0,11348
Taylor Swift - willow (Official Lyric Video),2020-12-11T05:00:01Z,9878535,195376,0,4380
Taylor Swift - closure (Official Lyric Video),2020-12-11T05:00:01Z,4264248,128709,0,4366
Taylor Swift - exile (folklore: the long pond studio sessions | Disney+) ft. Bon Iver,2020-11-25T08:00:07Z,18979147,437426,0,18450
Taylor Swift – folklore: the long pond studio sessions | Official Trailer | Disney+,2020-11-24T13:15:46Z,1574698,157405,0,11394
Taylor Swift - betty (Live from the 2020 Academy of Country Music Awards),2020-09-17T06:00:03Z,21383898,575485,0,28940
Taylor Swift - the lakes (Official Lyric Video),2020-08-18T07:00:15Z,10981996,333679,0,15844
Taylor Swift - The Making of 'cardigan' | Vevo Footnotes,2020-08-17T16:00:31Z,2578201,123611,0,4452
Taylor Swift - cardigan (cabin in candlelight version / Visualizer),2020-07-30T04:00:12Z,4263425,239578,0,3000
Taylor Swift – exile (feat. Bon Iver) (Official Lyric Video),2020-07-24T04:00:21Z,90115591,1114688,0,42536
Taylor Swift – hoax (Official Lyric Video),2020-07-24T04:00:21Z,11456511,260140,0,8621
Taylor Swift – seven (Official Lyric Video),2020-07-24T04:00:17Z,16305097,266992,0,10964
Taylor Swift – august (Official Lyric Video),2020-07-24T04:00:15Z,65311595,777146,0,29121
Taylor Swift - cardigan (Official Lyric Video),2020-07-24T04:00:11Z,22239145,323334,0,5252
Taylor Swift – peace (Official Lyric Video),2020-07-24T04:00:10Z,8277153,183375,0,6236
Taylor Swift - cardigan (Official Music Video),2020-07-24T04:00:09Z,133574573,2724181,0,143070
Taylor Swift – my tears ricochet (Official Lyric Video),2020-07-24T04:00:06Z,29835493,385988,0,11471
Taylor Swift – this is me trying (Official Lyric Video),2020-07-24T04:00:04Z,17261641,291343,0,8687
