Title,Published_date,Views,Likes,Dislikes,Comments
Ed Sheeran - Sandman [Official Lyric Video],2021-10-29T03:59:44Z,3949208,49468,0,1810
Ed Sheeran - Be Right Now [Official Lyric Video],2021-10-29T03:59:18Z,2361116,40657,0,1524
The shorter side = | Out now only on YouTube Shorts,2021-10-25T13:14:03Z,473375,18354,0,432
Create your own short to Tides using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:03:20Z,6893992,321564,0,2623
Create your own short to Shivers using #SheeranShorts. Only on YouTube #Shorts.,2021-10-25T13:03:09Z,103022100,2994345,0,17339
Create your own short to First Times using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:03:00Z,23453272,1025430,0,3498
Create your own short to Bad Habits using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:02:47Z,70295701,2780166,0,15412
Create your own short to Overpass Graffiti using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:02:36Z,77999522,2554404,0,9812
Create your own short to The Joker And The Queen using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:02:26Z,20197758,874653,0,3428
Create your own short to Leave Your Life using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:02:15Z,6758938,289670,0,1509
Create your own short to Collide using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:02:03Z,15769006,486670,0,2032
Create your own short to 2step using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:01:54Z,20678254,930870,0,3948
Create your own short to Stop The Rain using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:01:45Z,18085578,932206,0,3724
Create your own short to Love In Slow Motion using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:01:32Z,4216495,174092,0,912
Create your own short to Visiting Hours using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:01:08Z,3092381,136117,0,917
Create your own short to Sandman using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:00:55Z,29446090,1240490,0,9514
Create your own short to Be Right Now using #SheeranShorts. Only on YouTube #Shorts,2021-10-25T13:00:37Z,10134471,304884,0,2793
The shorter side = | Out now only on YouTube Shorts,2021-10-25T13:00:10Z,245890,14139,0,555
Ed Sheeran – Shivers [Official Acoustic Video],2021-10-01T09:00:31Z,9627044,168579,0,4114
Ed Sheeran - Shivers [Live from the Graham Norton Show],2021-09-25T10:08:59Z,2459359,52932,0,2049
Ed Sheeran - Shivers [Official Performance Video],2021-09-24T09:00:25Z,27645412,195405,0,4275
Ed Sheeran - Shivers [Official Behind The Scenes Video],2021-09-17T12:00:31Z,1565400,33385,0,1151
Ed Sheeran - Shivers [Live at the MTV VMAs 2021],2021-09-16T09:00:22Z,4254180,74594,0,2058
How to play Shivers #Shorts,2021-09-14T22:07:00Z,1949296,129256,0,1780
Ed Sheeran - Shivers [Official Lyric Video],2021-09-13T16:00:36Z,44242305,245996,0,4536
Castmates Shiver #Shorts,2021-09-10T13:41:23Z,690773,38250,0,387
Ed Sheeran - Shivers [Official Video],2021-09-09T23:00:12Z,286802652,2296202,0,55593
My brand new single Shivers is out Friday. #shorts,2021-09-07T20:44:53Z,1078492,58089,0,525
Ed Sheeran - Bad Habits (Comic Book Video),2021-09-04T09:00:08Z,1202549,48395,0,1545
Ed Sheeran - Visiting Hours [Live at TikTok UEFA EURO 2020],2021-08-24T17:44:42Z,811213,34617,0,1663
